iter	Passed	Remaining
0	161	161641
1	184	92254
2	205	68391
3	229	57050
4	250	49845
5	276	45761
6	294	41718
7	311	38603
8	330	36395
9	350	34668
10	369	33179
11	388	31979
12	410	31149
13	429	30222
14	448	29427
15	465	28615
16	482	27920
17	500	27305
18	517	26731
19	533	26139
20	549	25612
21	565	25128
22	584	24825
23	600	24408
24	615	24016
25	632	23680
26	649	23392
27	666	23131
28	681	22804
29	696	22510
30	711	22240
31	726	21974
32	742	21749
33	757	21529
34	779	21482
35	801	21468
36	821	21387
37	841	21304
38	863	21265
39	880	21128
40	895	20943
41	909	20739
42	925	20601
43	940	20438
44	960	20384
45	981	20363
46	1001	20298
47	1022	20282
48	1042	20223
49	1061	20166
50	1085	20198
51	1103	20124
52	1121	20032
53	1138	19951
54	1155	19862
55	1174	19801
56	1192	19734
57	1210	19655
58	1227	19575
59	1243	19479
60	1261	19415
61	1277	19333
62	1292	19219
63	1307	19122
64	1348	19400
65	1371	19401
66	1401	19513
67	1420	19467
68	1435	19363
69	1449	19254
70	1465	19181
71	1481	19099
72	1499	19045
73	1515	18963
74	1536	18944
75	1559	18958
76	1581	18960
77	1602	18937
78	1622	18919
79	1641	18874
80	1659	18832
81	1680	18817
82	1699	18778
83	1721	18768
84	1740	18730
85	1760	18710
86	1783	18717
87	1807	18731
88	1827	18710
89	1847	18680
90	1870	18684
91	1892	18674
92	1911	18645
93	1933	18631
94	1949	18569
95	1975	18598
96	1991	18535
97	2008	18485
98	2023	18418
99	2040	18363
100	2056	18307
101	2074	18263
102	2090	18201
103	2104	18132
104	2120	18070
105	2139	18040
106	2156	18000
107	2176	17973
108	2211	18075
109	2233	18072
110	2254	18056
111	2275	18043
112	2297	18038
113	2319	18027
114	2336	17983
115	2355	17953
116	2376	17933
117	2393	17889
118	2406	17816
119	2421	17760
120	2440	17731
121	2457	17686
122	2474	17640
123	2504	17695
124	2527	17695
125	2550	17692
126	2572	17683
127	2592	17659
128	2609	17620
129	2625	17573
130	2640	17513
131	2654	17454
132	2669	17400
133	2684	17348
134	2701	17309
135	2719	17275
136	2738	17251
